UMAP_1	UMAP_2	cluster	orig.ident	nFeature_RNA	nCount_RNA	percent.mt	SCGB1A1	IGLC1	IGHG1	IGHD	SCGB3A2	SCGB3A1	IGHG3	IGHA1	BPIFB1	C9orf24	IGKC	CXCL8	TPPP3	COL3A1	RSPH1	COL1A1	IL6	MSMB	JCHAIN	TSPAN1
-10.0246582928037	0.32897898940955	Mesothelial	lung	947	1982	0.151362260343088	0	0	0	0	0	0	0	0	0	0	0	3.05313451908402	0	6.78439656156316	0	6.44837673865209	0	0	0	0
-0.82039555934427	12.2405000665656	VE Arterial	lung	532	762	1.70603674540682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.68911781879904	-3.11753072948541	Macrophage Alveolar	lung	1127	2283	0.131406044678055	0	0	0	0	0	0	0	0	0	0	0	2.27833368835717	0	0	0	0	0	0	1.6827258250093	0
-1.19600936797617	12.8244548776618	VE Arterial	lung	645	884	1.69683257918552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.51059203726549	0	0	0
-9.79174909022806	-0.379236545277492	Mesothelial	lung	553	932	0.429184549356223	0	0	0	0	0	0	0	0	0	0	0	0	0	5.01869996884183	0	5.08725186855613	2.46211673236237	0	0	0
-2.26698955920694	9.02322730808173	Lymphatic	lung	296	354	1.12994350282486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-6.41459521678446	4.28465375690375	Club	lung	416	477	1.0482180293501	0	0	0	0	0	0	3.08942116646462	0	0	0	0	0	0	0	0	0	0	0	0	0
-5.72534713176248	-7.23657264919366	Myofibroblast	lung	310	386	0.77720207253886	0	0	0	0	0	0	0	0	0	0	0	0	3.29237665493943	0	0	3.29237665493943	0	0	0	0
-9.56955918696878	-2.56029477329339	Myofibroblast	lung	648	1004	0.398406374501992	0	0	2.39426682179279	2.39426682179279	0	0	0	0	0	0	0	0	0	3.43012420714973	0	0	0	0	0	0
-1.06057372716425	10.0316339471809	VE Arterial	lung	264	336	0.892857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1.69662198451517	13.1039806344977	VE Arterial	lung	933	1496	1.13636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.53870925519803	0	0	0
0.602519422497771	0.283255640553578	Mast	lung	540	767	0.651890482398957	0	0	0	0	0	0	0	0	0	0	0	4.19251501481451	0	2.64175437844846	0	0	0	0	0	0
7.54024305912497	1.39319155006324	ncMonocyte	lung	368	460	0.217391304347826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.87290182682516	3.78254661350165	ncMonocyte	lung	416	521	0.575815738963532	0	0	0	0	0	0	0	0	0	3.00537849705492	0	0	0	0	0	0	0	0	0	0
-5.41105613139627	-7.96337070674981	Myofibroblast	lung	324	391	1.0230179028133	0	0	0	0	0	0	0	0	0	0	0	0	0	4.35319423094514	0	0	0	0	0	0
4.72164335819723	15.4424110391608	Ciliated	lung	2735	6613	0.786329956146983	6.674392785587	0	0	0	0	3.95917147509853	0	0	3.44181006953713	4.04218072631871	0	3.89973857509332	4.92067826900107	0	3.76909546505874	0	0.921148112711816	4.19000981051829	0	4.21265503911209
4.83460941883566	-3.52153959484185	Macrophage Alveolar	lung	1383	2594	0.115651503469545	0	0	1.5800194241723	0	0	0	0	1.5800194241723	0	0	0	0	0	0	0	0	0	0	0	0
-5.22881898311136	-0.272784497452632	Myofibroblast	lung	478	563	0	0	0	0	0	0	0	0	0	0	0	0	0	3.59796899518183	0	0	0	0	0	0	0
4.92287340733054	8.65506038455878	Myofibroblast	lung	655	980	0.816326530612245	0	0	0	0	0	0	0	6.43526693272915	0	0	0	0	0	2.4162781433989	0	2.4162781433989	0	0	6.49868162708795	0
-8.71366605189798	-5.00090208263482	Myofibroblast	lung	614	850	0.588235294117647	0	0	0	0	0	0	0	0	0	0	0	0	0	2.54668400948424	0	0	0	0	0	0
-6.39869412806986	4.47792897014533	Club	lung	375	450	2.88888888888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-4.24348029521463	-8.3379453680047	Myofibroblast	lung	285	342	0.292397660818713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.02223005863669	-1.38338353843774	Macrophage Alveolar	lung	397	536	1.67910447761194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.64580056148017	0
5.60684624287131	4.82845077304755	ncMonocyte	lung	341	406	1.97044334975369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.37453785511496	3.51061186580573	ncMonocyte	lung	271	301	0.996677740863787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.87635460468771	14.8754211404792	Ciliated	lung	879	1221	1.31040131040131	0	0	0	0	0	0	0	0	0	3.5192776401074	0	0	4.06611752362221	0	2.85532106230035	0	0	0	0	2.21811682755416
5.56664934727194	-3.78471365184869	Macrophage Alveolar	lung	1164	2034	0.147492625368732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.73960676762106	-3.86051645488824	Macrophage Alveolar	lung	745	1098	0.273224043715847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-3.65794882205484	-2.33881154270257	Macrophage Alveolar	lung	696	984	0.711382113821138	0	0	2.41256905039555	0	0	0	0	0	0	0	0	0	0	0	0	3.72931112856679	3.05988962449446	0	0	0
5.2787589130068	3.12289509563361	ncMonocyte	lung	858	1282	0.46801872074883	2.17478717681931	0	0	0	0	0	0	0	0	0	2.17478717681931	0	0	0	0	0	0	0	0	0
0.769659429516814	0.677275214480504	Mast	lung	412	530	0.377358490566038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-5.8820601406431	-8.10186901302423	Myofibroblast	lung	283	377	0.26525198938992	0	0	0	0	0	0	0	0	0	0	0	0	3.31510191015727	3.31510191015727	0	3.31510191015727	0	0	0	0
-1.64522025016306	11.0401969888679	VE Arterial	lung	312	405	0.987654320987654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.93515625568869	-3.6892580053338	Macrophage Alveolar	lung	1507	2702	0.444115470022206	0	0	0	0	3.29237665493943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-3.52111849215982	-8.67316093654718	Myofibroblast	lung	294	345	1.44927536231884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.23382487865927	-4.86512317867364	Macrophage Alveolar	lung	1490	2465	0.324543610547667	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62073290948087	0	0	0	0	0	0
9.32592382999899	-1.96478786678399	Macrophage Alveolar	lung	519	728	1.78571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
